object_key,file_name,grade,subject,file_size,file_type
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\02 单元测试（2024）\第三单元 秦汉时期：统一多民族国家的建立和巩固   单元自我评价试题（含答案）.docx,第三单元 秦汉时期：统一多民族国家的建立和巩固   单元自我评价试题（含答案）.docx,七年级,历史,142.47 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\02 单元测试（2024）\第二单元 夏商周时期：早期国家与社会变革  单元自我评价试题（含答案）.docx,第二单元 夏商周时期：早期国家与社会变革  单元自我评价试题（含答案）.docx,七年级,历史,124.99 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\02 单元测试（2024）\第四单元 三国两晋南北朝时期：政权分立与民族交融  单元自我评价试题（含答案）.docx,第四单元 三国两晋南北朝时期：政权分立与民族交融  单元自我评价试题（含答案）.docx,七年级,历史,77.50 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第一单元 史前时期：中国境内早期人类与文明的起源 单元学情检测卷（含解析）\第一单元 史前时期：中国境内早期人类与文明的起源 单元学情检测卷（原卷版）.docx,第一单元 史前时期：中国境内早期人类与文明的起源 单元学情检测卷（原卷版）.docx,七年级,历史,2461.18 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第一单元 史前时期：中国境内早期人类与文明的起源 单元学情检测卷（含解析）\第一单元 史前时期：中国境内早期人类与文明的起源 单元学情检测卷（答案版）.docx,第一单元 史前时期：中国境内早期人类与文明的起源 单元学情检测卷（答案版）.docx,七年级,历史,29.26 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第三单元 秦汉时期：统一多民族国家的建立和巩固 单元学情检测卷（含解析）\第三单元 秦汉时期：统一多民族国家的建立和巩固 单元学情检测卷（原卷版）.docx,第三单元 秦汉时期：统一多民族国家的建立和巩固 单元学情检测卷（原卷版）.docx,七年级,历史,1259.66 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第三单元 秦汉时期：统一多民族国家的建立和巩固 单元学情检测卷（含解析）\第三单元 秦汉时期：统一多民族国家的建立和巩固 单元学情检测卷（答案版）.docx,第三单元 秦汉时期：统一多民族国家的建立和巩固 单元学情检测卷（答案版）.docx,七年级,历史,30.19 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第二单元  夏商周时期：早期国家与社会变革 单元学情检测卷（含解析）\第二单元 夏商周时期：早期国家与社会变革 单元学情检测卷.docx,第二单元 夏商周时期：早期国家与社会变革 单元学情检测卷.docx,七年级,历史,1534.33 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第二单元  夏商周时期：早期国家与社会变革 单元学情检测卷（含解析）\第二单元 夏商周时期：早期国家与社会变革（答案版）.docx,第二单元 夏商周时期：早期国家与社会变革（答案版）.docx,七年级,历史,30.30 KB,docx
试卷\七年级\历史\历史人教版7上试卷\2、单元测试 （25份）\03 单元测试（2024）\第四单元 三国两晋南北朝时期：政权分立与民族分立 单元学情检测卷（含解析）\第四单元 三国两晋南北朝时期：政权分立与民族分立 单元学情检测卷（原卷版）.docx,第四单元 三国两晋南北朝时期：政权分立与民族分立 单元学情检测卷（原卷版）.docx,七年级,历史,2933.38 KB,docx
